publication_date	list_label	scope	rank	entry_name	pfdb_id	issue_url
1984-11-01	Northwest	territory	1	Rip Oliver	1089	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Northwest	territory	4	Mr. Ebony	6018	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Northwest	territory	5	Tom Prichard	161	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Northwest	territory	6	Armando Guerrero	515	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Northwest	territory	8	Mike Miller	3720	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Northwest	territory	9	Doug Somers	590	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	1	Gino Hernandez	4044	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	2	Jim Garvin	495	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	3	Kerry Von Erich	119	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	4	Chris Adams	558	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	5	Kevin Von Erich	1077	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	6	Terry Gordy	217	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	7	The Missing Link	3216	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	8	Mike Von Erich	4041	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	9	Killer Khan	4057	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	World Class	territory	10	Butch Reed	71	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-12-15	Top 10	singles	1	Ric Flair	138	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Top 10	singles	3	Rick Martel	60	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Top 10	singles	4	Hulk Hogan	19	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Top 10	singles	6	Dusty Rhodes	109	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Top 10	singles	7	Kerry Von Erich	119	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Top 10	singles	8	Wahoo McDaniel	535	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Top 10	singles	9	Tully Blanchard	106	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Top 10	singles	10	Carlos Colon	155	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Popular	most_popular	2	Dusty Rhodes	109	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Popular	most_popular	4	Hulk Hogan	19	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Popular	most_popular	5	Rick Martel	60	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Popular	most_popular	6	Kerry Von Erich	119	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Popular	most_popular	7	Billy Jack	62	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Popular	most_popular	8	Sergeant Slaughter	121	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Popular	most_popular	9	Ricky Steamboat	5	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Popular	most_popular	10	Junkyard Dog	9	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Hated	most_hated	1	Tully Blanchard	106	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Hated	most_hated	2	Kevin Sullivan	505	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Hated	most_hated	3	Ted DiBiase	82	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Hated	most_hated	4	Abdullah The Butcher	512	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Hated	most_hated	6	Roddy Piper	21	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Hated	most_hated	7	Nikolai Volkoff	11	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Hated	most_hated	8	Angelo Mosca	5124	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Hated	most_hated	9	Jim Garvin	495	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	Most Hated	most_hated	10	Butch Reed	71	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	WWF	promotion	1	Tito Santana	1	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	WWF	promotion	2	Greg Valentine	10	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	WWF	promotion	3	Jimmy Snuka	114	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	WWF	promotion	4	Sergeant Slaughter	121	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	WWF	promotion	6	Bob Backlund	149	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
1984-12-15	WWF	promotion	7	Paul Orndorff	22	http://www.profightdb.com/pwi-monthly/winter-1984-415.html
